# Benjamin Haibe-Kains. All rights reserved.
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.205358
"module","probe","EntrezGene.ID","coefficient"
"","CCDC96","257236","17.0786"
"","ZNF587","84914","17.0444"
"","AKR7A3","22977","17.0283"
"","TMEM157","345757","17.0269"
"","APBB2","323","16.9927"
"","CSAD","51380","16.9669"
"","RMND5B","64777","16.9377"
"","TMBIM4","51643","16.9204"
"","IRX5","10265","16.8878"
"","SIGIRR","59307","16.8734"
"","PHF15","23338","16.8139"
"","FAM77C","79570","16.7853"
"","CHMP2A","27243","16.7836"
"","NDUFA2","4695","16.7775"
"","RALGPS1","9649","16.7721"
"","EEF1A2","1917","16.7622"
"","NME5","8382","16.7407"
"","KCTD3","51133","16.7376"
"","CPEB2","132864","16.7194"
"","TUSC4","10641","16.6878"
"","MPP2","4355","16.6523"
"","VAV3","10451","16.5942"
"","CHAD","1101","16.5906"
"","PCTK2","5128","16.5673"
"","TOB1","10140","16.5477"
"","TMEM30B","161291","16.5331"
"","SALL2","6297","16.4657"
"","TTC8","123016","16.4591"
"","WDR32","79269","16.4441"
"","HMGCL","3155","16.4411"
"","C12orf10","60314","16.4064"
"","MCCC2","64087","16.3972"
"","CISH","1154","16.3682"
"","IKBKB","3551","16.3402"
"","RARA","5914","16.2986"
"","ADCY9","115","16.2898"
"","C19orf21","126353","16.2422"
"","INPP4B","8821","16.2328"
"","KIAA1370","56204","16.2193"
"","HSD17B4","3295","16.2139"
"","C1orf78","55194","16.1754"
"","QDPR","5860","16.1055"
"","PIB5PA","27124","16.0378"
"","RUNX3","864","-16.0758"
"","SIRPA","140885","-16.0842"
"","TUBB6","84617","-16.1704"
"","CTSC","1075","-16.1829"
"","KIAA0020","9933","-16.1994"
"","PNRC1","10957","-16.1999"
"","GPM6B","2824","-16.2163"
"","SLC5A6","8884","-16.2696"
"","UQCRH","7388","-16.2747"
"","SCPEP1","59342","-16.2912"
"","IMPA2","3613","-16.2915"
"","MYO10","4651","-16.3618"
"","SOX11","6664","-16.5134"
"","NCK2","8440","-16.6058"
"","KLF5","688","-16.6231"
"","ALDH1A3","220","-16.6344"
"","RGMA","56963","-16.7002"
"","MSL3L1","10943","-16.7319"
"","KRT7","3855","-16.7559"
"","FLJ36031","168455","-16.7859"
"","CREB3L2","64764","-16.8517"
"","C1R","715","-16.8613"
"","EN1","2019","-16.8729"
"","CHST11","50515","-16.8799"
"","ADFP","123","-16.9276"
"","TTLL4","9654","-16.9299"
"","PLCG2","5336","-16.9322"
"","DAPK1","1612","-16.9805"
"","TNFAIP3","7128","-17.0514"
"","PRNP","5621","-17.0682"
"","ASS1","445","-17.0696"
"","ZCCHC11","23318","-17.0932"
"","WWTR1","25937","-17.0952"
"","SOX10","6663","-17.0957"
"","PLAGL1","5325","-17.189"
"","UNC84B","25777","-17.2064"
"","CDK2AP1","8099","-17.2142"
"","ACOT9","23597","-17.2788"
"","SLPI","6590","-17.2924"
"","MALL","7851","-17.296"
"","CSTB","1476","-17.344"
"","FLJ31951","153830","-17.3688"
"","ST8SIA1","6489","-17.47"
"","KRT16","3868","-17.4894"
"","LBR","3930","-17.521"
"","LYN","4067","-17.5439"
"","SOD2","6648","-17.5544"
"","TCF7L1","83439","-17.5695"
"","MICALL1","85377","-17.6593"
"","EGFR","1956","-17.6753"
"","KIAA0746","23231","-17.7478"
"","S100A8","6279","-17.9275"
"","CXCL1","2919","-18.0988"
"","GPRC5B","51704","-18.1657"
"","SFRP1","6422","-18.193"
"","ODC1","4953","-18.2726"
"","NFIL3","4783","-18.2936"
"","TMEM123","114908","-18.409"
"","ARL4C","10123","-18.4179"
"","RBMS1","5937","-18.5511"
"","TES","26136","-18.5804"
"","PRKX","5613","-18.5824"
"","MAPRE2","10982","-18.6349"
"","CX3CL1","6376","-18.6963"
"","ANXA1","301","-18.8048"
"","PHGDH","26227","-18.9079"
"","UBE2E3","10477","-18.9524"
"","TRIM2","23321","-19.0385"
"","DSC2","1824","-19.131"
"","PLOD1","5351","-19.1772"
"","PROM1","8842","-19.2646"
"","LDHB","3945","-19.4303"
"","RARRES1","5918","-19.4467"
"","CSDA","8531","-19.5034"
"","B3GNT5","84002","-19.5754"
"","KCNN4","3783","-19.6187"
"","PFKP","5214","-19.9116"
"","CRYAB","1410","-19.9287"
"","CSRP2","1466","-20.0037"
"","PELI1","57162","-20.3023"
"","TRIM29","23650","-20.3269"
"","CDH3","1001","-20.3519"
"","NFIB","4781","-20.3809"
"","FABP7","2173","-20.4387"
"","VGLL1","51442","-20.5312"
"","BCL11A","53335","-20.5485"
"","GSTP1","2950","-20.598"
"","GABRP","2568","-20.7796"
"","MID1","4281","-20.8109"
"","C11orf75","56935","-20.9443"
"","ITM2C","81618","-21.0443"
"","BTG3","10950","-21.1185"
"","C10orf38","221061","-21.1252"
"","FOXC1","2296","-21.9009"
"","LPIN1","23175","-22.0443"
"","PSAT1","29968","-22.188"
"","FAT","2195","-22.3607"
"","YBX1","4904","-22.6004"
"","MSN","4478","-22.6747"
"","LMO4","8543","-23.8129"
"","","",""
"ERBB2","ERBB2","2064","Inf"
"","GRB7","2886","43.352"
"","STARD3","10948","35.0519"
"","PERLD1","93210","34.1108"
"","PSMD3","5709","30.5271"
"","THRAP4","9862","26.1964"
"","C17orf37","84299","24.9801"
"","PNMT","5409","23.9089"
"","GSDML","55876","22.6833"
"","ORMDL3","94103","22.3712"
"","TCAP","8557","21.7784"
"","PPARBP","5469","20.5129"
"","CRKRS","51755","20.2619"
"","PSMB3","5691","19.9335"
"","LASP1","3927","19.3189"
"","PCGF2","7703","17.3048"
"","PRODH","5625","16.9161"
"","ABCC11","85320","16.3907"
"","GALNT7","51809","16.0586"
"","ITGB6","3694","16.012"
"","","",""
"AURKA","AURKA","6790","Inf"
"","UBE2C","11065","40.7448"
"","RACGAP1","29127","35.4787"
"","DLG7","9787","35.4342"
"","TPX2","22974","35.1405"
"","BUB1","699","34.5271"
"","CCNB2","9133","34.3281"
"","CENPA","1058","34.1303"
"","PTTG1","9232","33.9524"
"","MELK","9833","32.8711"
"","CENPF","1063","32.3918"
"","BIRC5","332","32.2669"
"","NEK2","4751","32.1877"
"","FOXM1","2305","31.8211"
"","KIF20A","10112","31.7993"
"","PRC1","9055","31.6631"
"","KIF2C","11004","31.3946"
"","CKS2","1164","31.1861"
"","DKFZp762E1312","55355","30.8784"
"","TOP2A","7153","30.4793"
"","ZWINT","11130","30.2683"
"","MAD2L1","4085","30.195"
"","TRIP13","9319","29.9422"
"","ESPL1","9700","29.93"
"","CDC2","983","29.7946"
"","RRM2","6241","29.7129"
"","CDCA8","55143","29.4352"
"","CENPE","1062","29.4195"
"","MYBL2","4605","29.3717"
"","EZH2","2146","29.3561"
"","CCNB1","891","29.2514"
"","TTK","7272","29.1271"
"","SPAG5","10615","29.0887"
"","KIFC1","3833","28.9603"
"","KIF4A","24137","28.924"
"","HMMR","3161","28.7556"
"","KPNA2","3838","28.6239"
"","CEP55","55165","28.6178"
"","KNTC2","10403","28.3522"
"","KIF23","9493","28.2508"
"","UBE2S","27338","28.2037"
"","CSE1L","1434","28.1746"
"","TROAP","10024","28.055"
"","NCAPG","64151","27.8872"
"","KIF11","3832","27.764"
"","PCNA","5111","27.7042"
"","ASPM","259266","27.4894"
"","KIAA0101","9768","27.432"
"","BUB1B","701","27.431"
"","NCAPH","23397","27.3622"
"","MLF1IP","79682","27.1925"
"","CDKN3","1033","27.1696"
"","TACC3","10460","27.0815"
"","CDC25C","995","27.0079"
"","TIMELESS","8914","26.9792"
"","CDC20","991","26.6635"
"","UBE2T","29089","26.4506"
"","MCM6","4175","26.4493"
"","LMNB1","4001","26.3655"
"","RAE1","8480","26.2426"
"","DTL","51514","26.2333"
"","NUSAP1","51203","26.1582"
"","PBK","55872","25.9738"
"","FEN1","2237","25.6863"
"","STIL","6491","25.6105"
"","CENPN","55839","25.5917"
"","ANLN","54443","25.5157"
"","AURKB","9212","25.4166"
"","KIF15","56992","25.2781"
"","GINS2","51659","25.0409"
"","KIF14","9928","24.9969"
"","PKMYT1","9088","24.9579"
"","CCNE2","9134","24.8171"
"","FAM64A","54478","24.7817"
"","DCC1","79075","24.7779"
"","RAD51","5888","24.7353"
"","NUF2","83540","24.6906"
"","MCM2","4171","24.625"
"","PSMA7","5688","24.6249"
"","CDC45L","8318","24.5725"
"","BLM","641","24.5294"
"","RFC4","5984","24.4519"
"","CDCA3","83461","24.2138"
"","EXO1","9156","24.0513"
"","H2AFZ","3015","24.0155"
"","HMGB2","3148","23.8108"
"","MKI67","4288","23.8057"
"","CKS1B","1163","23.6827"
"","CCNA2","890","23.6459"
"","HN1","51155","23.2639"
"","RAD51AP1","10635","23.2607"
"","TK1","7083","23.1787"
"","DDX39","10212","23.1384"
"","E2F8","79733","23.1291"
"","RNASEH2A","10535","23.096"
"","CTPS","1503","22.8777"
"","MCM10","55388","22.7565"
"","TYMS","7298","22.7335"
"","ORC6L","23594","22.7024"
"","CENPM","79019","22.6758"
"","UHRF1","29128","22.5973"
"","RAD54L","8438","22.2717"
"","OIP5","11339","22.2388"
"","TCEB1","6921","22.154"
"","FAM83D","81610","22.1377"
"","GTPBP4","23560","22.0991"
"","CDC6","990","22.0657"
"","STMN1","3925","22.0649"
"","H2AFX","3014","21.9816"
"","E2F1","1869","21.9254"
"","ATAD2","29028","21.8976"
"","CCT5","22948","21.8831"
"","GTSE1","51512","21.8747"
"","DBF4","10926","21.8382"
"","SHCBP1","79801","21.8139"
"","C16orf61","56942","21.749"
"","MTHFD2","10797","21.6276"
"","CCNE1","898","21.553"
"","GMPS","8833","21.4845"
"","C20orf45","51012","21.4785"
"","SNRPC","6631","21.4477"
"","DEPDC1B","55789","21.3393"
"","PLK1","5347","21.277"
"","ADRM1","11047","21.2468"
"","RAD54B","25788","21.2348"
"","POLQ","10721","21.1816"
"","POLA2","23649","21.169"
"","CDT1","81620","21.1603"
"","RECQL4","9401","21.1451"
"","CHEK1","1111","21.0577"
"","KNTC1","9735","20.8698"
"","C21orf45","54069","20.785"
"","KIF18A","81930","20.6427"
"","ASF1B","55723","20.627"
"","CASC5","57082","20.624"
"","SNRPD1","6632","20.6122"
"","SQLE","6713","20.5456"
"","DPM1","8813","20.4224"
"","PLK4","10733","20.3995"
"","MCM3","4172","20.392"
"","C20orf20","55257","20.3897"
"","PSMD14","10213","20.2905"
"","CDCA5","113130","20.2522"
"","EBP","10682","20.1293"
"","GGH","8836","20.1243"
"","FAM54A","113115","20.0945"
"","CDC25B","994","20.0915"
"","KIAA1794","55215","20.0139"
"","PSMD2","5708","19.9006"
"","FAM72A","653573","19.8851"
"","TMEM97","27346","19.7508"
"","FBXO5","26271","19.7196"
"","LMNB2","84823","19.6491"
"","DTYMK","1841","19.6069"
"","GPSM2","29899","19.6066"
"","C15orf42","90381","19.5901"
"","FLJ20105","54821","19.57"
"","CENPK","64105","19.521"
"","C12orf48","55010","19.4653"
"","K-ALPHA-1","10376","19.4626"
"","IQGAP3","128239","19.2314"
"","C15orf23","90417","19.2097"
"","XPOT","11260","19.201"
"","CKAP5","9793","19.1968"
"","SNRPA1","6627","19.1317"
"","DONSON","29980","18.0023"
"","MRPL13","28998","17.9947"
"","CCT6A","908","17.9867"
"","MRPS17","51373","17.9376"
"","PAICS","10606","17.8846"
"","PSMD12","5718","17.8776"
"","LIG1","3978","17.8681"
"","WDR67","93594","17.8625"
"","PSMA6","5687","17.7884"
"","ENY2","56943","17.7777"
"","DNAJC9","23234","17.7608"
"","SMC4","10051","17.7207"
"","H2AFV","94239","17.6634"
"","HMGB3","3149","17.6007"
"","STRA13","201254","17.562"
"","FLJ14668","84908","17.5614"
"","MND1","84057","17.546"
"","PTDSS1","9791","17.5404"
"","DNMT1","1786","17.5359"
"","TH1L","51497","17.5125"
"","DEPDC1","55635","17.4569"
"","PSMB2","5690","17.3263"
"","XPO1","7514","17.2823"
"","SMS","6611","17.1921"
"","SLC7A5","8140","17.19"
"","PSRC1","84722","17.1875"
"","MTFR1","9650","17.1529"
"","TUBG1","7283","17.134"
"","UNG","7374","17.1083"
"","LRP8","7804","17.0662"
"","HDGF","3068","17.0517"
"","VRK1","7443","17.0455"
"","NOL5A","10528","17.0213"
"","ACTL6A","86","17.005"
"","LAPTM4B","55353","17.0042"
"","FAM49B","51571","16.9908"
"","MTDH","92140","16.908"
"","ACOT7","11332","16.8973"
"","TOMM40","10452","16.8474"
"","CABLES2","81928","16.8093"
"","SS18L1","26039","16.7968"
"","WDSOF1","25879","16.7932"
"","NUP205","23165","16.778"
"","PNPT1","87178","16.743"
"","MCM4","4173","16.6449"
"","DIAPH3","81624","16.5997"
"","CNIH4","29097","16.5852"
"","CDC25A","993","16.5699"
"","SRPK1","6732","16.5626"
"","PIF1","80119","16.517"
"","NOL11","25926","16.5026"
"","SLBP","7884","16.4442"
"","GMNN","51053","16.4228"
"","NOL1","4839","16.4048"
"","BOP1","23246","16.3748"
"","C1orf112","55732","16.3608"
"","HMGA1","3159","16.3585"
"","PPIL5","122769","16.354"
"","CTSL2","1515","16.3529"
"","COX5A","9377","16.3364"
"","C16orf75","116028","16.3097"
"","SIAHBP1","22827","16.2923"
"","OSBPL2","9885","16.2844"
"","HSPC111","51491","16.2816"
"","THOC4","10189","16.2752"
"","HNRPAB","3182","16.2734"
"","SPBC24","147841","16.2343"
"","TMEM118","84900","16.2305"
"","SPBC25","57405","16.2175"
"","SNRPF","6636","16.2131"
"","HPRT1","3251","16.2033"
"","UBE2V2","7336","16.1993"
"","RBM35A","54845","16.1764"
"","RBM38","55544","16.1673"
"","HNRPA2B1","3181","16.0843"
"","C6orf129","154467","16.0637"
"","DSN1","79980","16.05"
"","NUP155","9631","16.0186"
"","HELLS","3070","16.0103"
"","FANCG","2189","16.0047"
"","FXYD1","5348","-16.0117"
"","RGS5","8490","-16.0254"
"","HTRA1","5654","-16.0306"
"","NTRK2","4915","-16.0382"
"","TCF4","6925","-16.1272"
"","PDZRN3","23024","-16.1779"
"","AK5","26289","-16.1967"
"","ADH1B","125","-16.2154"
"","LAMB2","3913","-16.2323"
"","GEM","2669","-16.2483"
"","C7","730","-16.4004"
"","RAI2","10742","-16.4014"
"","LRRC17","10234","-16.4744"
"","ZBTB16","7704","-16.5538"
"","CALCOCO1","57658","-16.6613"
"","CD302","9936","-16.749"
"","DST","667","-16.7744"
"","SH3D19","152503","-16.9288"
"","CD34","947","-16.9698"
"","FCER1A","2205","-16.9912"
"","ADRA2A","150","-17.0407"
"","CRY2","1408","-17.0443"
"","DARC","2532","-17.0453"
"","SETBP1","26040","-17.0727"
"","SMOC2","64094","-17.1421"
"","SPRY1","10252","-17.1985"
"","JAM2","58494","-17.2485"
"","FLJ21062","79846","-17.2542"
"","PPAP2B","8613","-17.2952"
"","FRZB","2487","-17.2956"
"","DPT","1805","-17.3895"
"","P2RY5","10161","-17.4876"
"","SFRP4","6424","-17.5127"
"","RECK","8434","-17.5258"
"","TGFBR2","7048","-17.5272"
"","ITGA7","3679","-17.5285"
"","ECM2","1842","-17.583"
"","OMD","4958","-17.6576"
"","PROS1","5627","-17.9269"
"","RUNX1T1","862","-17.9312"
"","SLIT2","9353","-18.0242"
"","PDGFD","80310","-18.0999"
"","RNASE4","6038","-18.1337"
"","PDGFRL","5157","-18.1438"
"","CBX7","23492","-18.1557"
"","MYH11","4629","-18.2192"
"","CYBRD1","79901","-18.3522"
"","ABCA8","10351","-18.4503"
"","FBLN1","2192","-18.512"
"","GNG11","2791","-18.5773"
"","TGFB3","7043","-18.675"
"","LDB2","9079","-18.6837"
"","AQP1","358","-18.7455"
"","LAMA2","3908","-18.8443"
"","RBMS3","27303","-18.9008"
"","NTN4","59277","-18.9013"
"","CXCL12","6387","-18.9675"
"","DCN","1634","-19.1792"
"","FRY","10129","-19.2514"
"","DIXDC1","85458","-19.4106"
"","LHFP","10186","-19.7853"
"","CAV1","857","-19.8931"
"","FMOD","2331","-19.9329"
"","TENC1","23371","-19.9334"
"","ZBTB20","26137","-20.0387"
"","CRIM1","51232","-20.1214"
"","PLSCR4","57088","-20.2197"
"","COL14A1","7373","-20.5841"
"","FLRT2","23768","-20.6123"
"","C10orf56","219654","-20.9346"
"","IGF1","3479","-21.0774"
"","OGN","4969","-21.9163"
"","MFAP4","4239","-22.6283"
"","SPARCL1","8404","-22.9886"
