# Benjamin Haibe-Kains. All rights reserved.
# mean.1: -0.770566 -0.713815
# mean.2: 0.0914304 0.679033
# mean.3: 0.590587 -0.260582
# sigma: 0.0616606 0.0628818
# pro: 0.287791 0.156977 0.555233
# scale: 0.0622682
# shape: 0.990242 1.00985
# cutoff.AURKA: -0.288223
"module","probe","EntrezGene.ID","coefficient"
"","205531_s_at","27165","0.25"
"","219446_at","55188","0.34"
"","206125_s_at","11202","-0.36"
"","217973_at","51181","0.3"
"","202965_s_at","827","-0.33"
"","212724_at","390","-0.34"
"","219821_s_at","54438","-0.34"
"","212062_at","10079","0.33"
"","36830_at","4285","0.36"
"","203706_s_at","8324","-0.33"
"","203108_at","9052","0.35"
"","214913_at","9508","-0.29"
"","201953_at","10519","0.32"
"","213201_s_at","7138","0.33"
"","219112_at","51735","0.33"
"","219587_at","54970","0.29"
"","203397_s_at","2591","-0.34"
"","204437_s_at","2348","-0.33"
"","209531_at","2954","0.33"
"","212704_at","23318","-0.29"
"","204916_at","10267","0.33"
"","218963_s_at","25984","-0.34"
"","206634_at","6496","-0.26"
"","206612_at","786","0.33"
"","212825_at","22976","0.31"
"","221951_at","283232","0.33"
"","202357_s_at","629","0.33"
"","205807_s_at","7286","0.32"
"","209799_at","5562","-0.27"
"","204711_at","9851","0.34"
"","218493_at","79622","0.31"
"","218307_at","55316","0.33"
"","205334_at","6271","-0.33"
"","218332_at","55859","0.32"
"","206999_at","3595","-0.34"
"","206935_at","5100","-0.36"
"","209631_s_at","2861","-0.32"
"","213262_at","26278","-0.3"
"","218445_at","55506","-0.31"
"","218409_s_at","64215","0.31"
"","204512_at","3096","-0.3"
"","204577_s_at","23059","0.31"
"","201346_at","79602","0.29"
"","218123_at","56683","0.3"
"","204602_at","22943","-0.32"
"","217728_at","6277","-0.31"
"","218706_s_at","65983","-0.31"
"","204880_at","4255","0.31"
"","203892_at","10406","0.31"
"","207142_at","3760","0.29"
"","205271_s_at","23552","0.28"
"","215153_at","9722","0.23"
"","209049_s_at","23613","0.3"
"","212543_at","202","-0.28"
"","219963_at","51207","0.3"
"","211685_s_at","83988","-0.28"
"","209774_x_at","2920","-0.23"
"","201631_s_at","8870","0.29"
"","217935_s_at","55245","0.29"
"","204432_at","6666","0.29"
"","218740_s_at","80279","0.3"
"","205311_at","1644","-0.26"
"","202586_at","5441","0.29"
"","219529_at","9022","-0.29"
"","219603_s_at","7769","0.29"
"","205056_s_at","27239","0.27"
"","218900_at","26504","0.3"
"","209291_at","3400","-0.3"
"","206457_s_at","1733","0.28"
"","209177_at","25915","0.28"
"","203917_at","1525","-0.29"
"","204971_at","1475","-0.3"
"","207300_s_at","2155","0.29"
"","205375_at","4188","-0.29"
"","205981_s_at","3622","0.29"
"","218089_at","25980","0.2"
"","204242_s_at","8310","0.29"
"","218414_s_at","54820","0.28"
"","205336_at","5816","0.23"
"","219009_at","60686","0.25"
"","207037_at","8792","-0.3"
"","218704_at","54894","0.28"
"","207177_at","5737","-0.22"
"","209618_at","1501","0.27"
"","203739_at","7764","0.28"
"","208927_at","8405","0.27"
"","209457_at","1847","0.28"
"","205555_s_at","4488","0.3"
"","201691_s_at","7163","0.26"
"","220308_at","25790","0.29"
"","204469_at","5803","-0.26"
"","203787_at","23635","0.26"
"","209453_at","6548","0.27"
"","206261_at","8187","0.27"
"","206335_at","2588","-0.23"
"","218630_at","54903","0.25"
"","218511_s_at","55163","0.26"
"","218038_at","55101","0.27"
"","203978_at","4682","0.24"
"","209948_at","3779","-0.22"
"","205243_at","64849","-0.27"
"","200610_s_at","4691","-0.26"
"","218742_at","64428","0.2"
"","206953_s_at","23266","-0.25"
"","220311_at","29104","0.22"
"","203590_at","1783","-0.25"
"","203986_at","8987","0.24"
"","220013_at","79852","-0.27"
"","221859_at","57586","0.24"
"","207123_s_at","8785","-0.21"
"","204856_at","10331","-0.24"
"","205190_at","5357","0.25"
"","219433_at","54880","0.23"
"","219049_at","55790","-0.25"
"","221047_s_at","4139","-0.24"
"","218237_s_at","81539","0.24"
"","204042_at","10810","-0.18"
"","215332_s_at","926","-0.24"
"","220225_at","50805","-0.23"
"","221056_x_at","58513","0.23"
"","203408_s_at","6304","-0.24"
"","219609_at","79446","0.21"
"","213424_at","23366","0.23"
"","217900_at","55699","0.23"
"","","",""
"ERBB2","216836_s_at","2064","1"
"","221811_at","93210","0.91"
"","201388_at","5709","0.68"
"","206793_at","5409","0.65"
"","219233_s_at","55876","0.55"
"","207842_s_at","22794","0.48"
"","200618_at","3927","0.47"
"","212051_at","147179","0.44"
"","220318_at","55040","0.4"
"","200659_s_at","5245","0.4"
"","217528_at","9635","0.36"
"","206745_at","3227","0.31"
"","218556_at","29095","0.35"
"","203911_at","5909","0.34"
"","205073_at","1573","0.31"
"","215465_at","26154","0.29"
"","205221_at","3081","0.3"
"","201200_at","8804","-0.3"
"","206043_s_at","9914","0.29"
"","214797_s_at","5129","-0.29"
"","218823_s_at","54793","-0.29"
"","219468_s_at","404093","0.32"
"","201474_s_at","3675","0.27"
"","218910_at","55129","0.26"
"","219522_at","24147","-0.25"
"","201884_at","1048","0.26"
"","204760_s_at","9572","0.24"
"","205573_s_at","51375","-0.23"
"","","",""
"AURKA","208079_s_at","6790","1"
"","202954_at","11065","0.82"
"","202705_at","9133","0.79"
"","204962_s_at","1058","0.79"
"","202095_s_at","332","0.79"
"","209408_at","11004","0.78"
"","218755_at","10112","0.76"
"","202870_s_at","991","0.74"
"","202580_x_at","2305","0.74"
"","214710_s_at","891","0.75"
"","210052_s_at","22974","0.75"
"","204267_x_at","9088","0.7"
"","221591_s_at","54478","0.69"
"","204641_at","4751","0.72"
"","218355_at","24137","0.71"
"","212949_at","23397","0.72"
"","204033_at","9319","0.71"
"","203362_s_at","4085","0.7"
"","204603_at","9156","0.67"
"","203145_at","10615","0.67"
"","202338_at","7083","0.64"
"","205339_at","6491","0.68"
"","209773_s_at","6241","0.66"
"","219555_s_at","55839","0.67"
"","202589_at","7298","0.66"
"","205733_at","641","0.65"
"","202107_s_at","4171","0.64"
"","204170_s_at","1164","0.61"
"","218883_s_at","79682","0.62"
"","204072_s_at","10129","-0.59"
"","221521_s_at","51659","0.58"
"","201584_s_at","10212","0.57"
"","200783_s_at","3925","0.59"
"","219493_at","79801","0.59"
"","205436_s_at","3014","0.58"
"","203022_at","10535","0.58"
"","204023_at","5984","0.58"
"","212294_at","55970","-0.56"
"","209714_s_at","1033","0.58"
"","220651_s_at","55388","0.57"
"","218586_at","55257","0.55"
"","201897_s_at","1163","0.55"
"","203046_s_at","8914","0.56"
"","219650_at","54821","0.51"
"","212494_at","23371","-0.54"
"","207469_s_at","8544","0.52"
"","204510_at","8317","0.52"
"","202709_at","2331","-0.5"
"","215942_s_at","51512","0.52"
"","204051_s_at","6424","-0.5"
"","208029_s_at","55353","0.51"
"","200795_at","8404","-0.51"
"","203967_at","990","0.5"
"","209747_at","7043","-0.5"
"","201281_at","11047","0.48"
"","217844_at","58190","-0.49"
"","219580_s_at","79838","-0.49"
"","216952_s_at","84823","0.49"
"","212936_at","83989","-0.49"
"","203187_at","1793","-0.48"
"","205422_s_at","9358","-0.44"
"","203560_at","8836","0.48"
"","218901_at","57088","-0.48"
"","213364_s_at","6642","-0.47"
"","218730_s_at","4969","-0.47"
"","213103_at","90627","-0.48"
"","212160_at","11260","0.47"
"","209899_s_at","22827","0.48"
"","212832_s_at","9793","0.47"
"","204115_at","2791","-0.44"
"","219502_at","55247","0.39"
"","205381_at","10234","-0.47"
"","209897_s_at","9353","-0.45"
"","203270_at","1841","0.45"
"","206550_s_at","9631","0.46"
"","203422_at","5424","0.44"
"","201342_at","6631","0.44"
"","218656_s_at","10186","-0.45"
"","204766_s_at","4521","0.45"
"","209540_at","3479","-0.45"
"","201555_at","4172","0.45"
"","211734_s_at","2205","-0.45"
"","220840_s_at","55732","0.43"
"","215506_s_at","9077","-0.45"
"","205053_at","5557","0.45"
"","218533_s_at","54963","0.44"
"","218695_at","54512","0.44"
"","217889_s_at","79901","-0.44"
"","218589_at","10161","-0.44"
"","218728_s_at","29097","0.41"
"","201250_s_at","6513","0.44"
"","218059_at","51123","0.43"
"","203065_s_at","857","-0.42"
"","218701_at","51110","0.38"
"","221069_s_at","51204","0.41"
"","219121_s_at","54845","0.4"
"","205141_at","283","-0.41"
"","219315_s_at","79652","-0.41"
"","218162_at","56944","-0.4"
"","202344_at","3297","0.39"
"","213379_at","27235","0.39"
"","203698_s_at","2487","-0.4"
"","202854_at","3251","0.4"
"","201933_at","5119","0.4"
"","218619_s_at","6839","0.4"
"","206767_at","27303","-0.38"
"","204948_s_at","10468","-0.38"
"","219308_s_at","26289","-0.4"
"","218399_s_at","55038","0.39"
"","201714_at","7283","0.38"
"","209567_at","23212","0.38"
"","218560_s_at","65094","0.39"
"","222231_s_at","55379","0.37"
"","215399_s_at","10956","-0.3"
"","219933_at","51022","0.37"
"","221741_s_at","54915","0.37"
"","209481_at","54861","-0.37"
"","220011_at","79000","0.35"
"","219779_at","79776","-0.38"
"","221958_s_at","79971","-0.34"
"","206683_at","7718","0.34"
"","209478_at","201254","0.36"
"","208893_s_at","1848","-0.34"
"","205405_at","9037","-0.38"
"","203664_s_at","5433","0.39"
"","218491_s_at","29087","-0.32"
"","220141_at","79864","-0.36"
"","209047_at","358","-0.32"
"","202567_at","6634","0.36"
"","202177_at","2621","-0.35"
"","209076_s_at","56270","0.34"
"","202861_at","5187","-0.36"
"","215096_s_at","2098","-0.33"
"","208117_s_at","81887","0.36"
"","206143_at","1811","-0.32"
"","42361_g_at","54535","0.3"
"","209916_at","55526","0.3"
"","219132_at","57161","-0.34"
"","209189_at","2353","-0.35"
"","218983_at","51279","-0.35"
"","218724_s_at","60436","0.35"
"","202282_at","3028","0.34"
"","218408_at","26519","0.34"
"","221814_at","25960","-0.34"
"","212558_at","10252","-0.35"
"","203777_s_at","6199","0.32"
"","204492_at","9824","0.27"
"","219215_s_at","55630","0.35"
"","204731_at","7049","-0.33"
"","201614_s_at","8607","0.27"
"","204417_at","2581","-0.34"
"","205528_s_at","862","-0.35"
"","204407_at","8458","0.33"
"","201303_at","9775","0.33"
"","205292_s_at","3181","0.33"
"","213140_s_at","26039","0.32"
"","218087_s_at","10580","-0.34"
"","203888_at","7056","-0.31"
"","218665_at","8322","-0.35"
"","204677_at","1003","-0.33"
"","204363_at","2152","-0.33"
"","219501_at","55068","-0.3"
"","218719_s_at","64785","0.35"
"","218132_s_at","79042","0.32"
"","204391_x_at","8805","0.32"
"","204459_at","1478","0.32"
"","207147_at","1746","-0.32"
"","219700_at","57125","-0.28"
"","212328_at","22998","-0.31"
"","220223_at","79915","0.3"
"","215073_s_at","7026","-0.32"
"","213425_at","7474","-0.31"
"","219961_s_at","55857","-0.33"
"","219905_at","114625","-0.29"
"","203240_at","8857","-0.31"
"","205542_at","26872","-0.3"
"","205708_s_at","7226","0.29"
"","218996_at","29844","0.27"
"","203039_s_at","4719","0.3"
"","210102_at","4013","-0.3"
"","204868_at","3396","0.29"
"","201288_at","397","-0.28"
"","209233_at","10436","0.3"
"","201772_at","51582","0.29"
"","201491_at","10598","0.29"
"","209462_at","333","0.27"
"","217720_at","51142","0.29"
"","219908_at","27123","-0.29"
"","218272_at","55020","-0.28"
"","217504_at","23460","-0.27"
"","219993_at","64321","-0.28"
"","206271_at","7098","-0.27"
"","205464_at","6338","0.29"
"","210213_s_at","3692","0.26"
"","204011_at","10253","-0.29"
"","204472_at","2669","-0.28"
"","219768_at","79679","-0.26"
"","219269_at","79618","-0.27"
"","202535_at","8772","0.27"
"","205333_s_at","9986","0.26"
"","213858_at","58500","0.25"
"","220504_at","11081","-0.32"
"","203235_at","7064","0.21"
"","219714_s_at","55799","-0.26"
"","209741_x_at","49855","-0.26"
"","217754_at","54606","0.2"
"","203786_s_at","7164","0.26"
"","218897_at","80775","0.27"
"","204455_at","667","-0.25"
"","204993_at","2781","0.26"
"","205164_at","23464","0.25"
"","218893_at","79763","0.26"
"","219027_s_at","4649","-0.25"
"","207267_s_at","53820","0.23"
"","201625_s_at","3638","0.28"
"","200870_at","11171","0.25"
"","200619_at","10992","0.25"
"","212894_at","6832","0.25"
"","205004_at","55922","0.24"
"","205562_at","10557","0.27"
"","205366_s_at","3216","-0.25"
"","219417_s_at","54785","-0.24"
"","200705_s_at","1933","-0.24"
"","203653_s_at","8161","0.23"
"","213321_at","594","-0.26"
"","204351_at","6286","0.23"
"","218939_at","3954","0.23"
"","219704_at","51087","0.2"
"","201870_at","10953","0.2"
