# Benjamin Haibe-Kains. All rights reserved.
# mean.1: -0.770566 -0.713815
# mean.2: 0.0914304 0.679033
# mean.3: 0.590587 -0.260582
# sigma: 0.0616606 0.0628818
# pro: 0.287791 0.156977 0.555233
# scale: 0.0622682
# shape: 0.990242 1.00985
# cutoff.AURKA: -0.288223
"module","probe","EntrezGene.ID","coefficient"
"ESR1","205225_at","2099","1"
"","212956_at","23158","0.82"
"","209602_s_at","2625","0.81"
"","204508_s_at","771","0.77"
"","204667_at","3169","0.75"
"","204798_at","4602","0.72"
"","205186_at","7802","0.72"
"","209459_s_at","18","0.68"
"","200670_at","7494","0.71"
"","219197_s_at","57758","0.71"
"","214053_at","2066","0.71"
"","214440_at","9","0.69"
"","209173_at","10551","0.68"
"","212692_s_at","987","0.67"
"","218976_at","56521","0.65"
"","209696_at","2203","0.67"
"","217838_s_at","51466","0.65"
"","215729_s_at","51442","-0.66"
"","218259_at","57496","0.65"
"","205009_at","7031","0.64"
"","200810_s_at","1153","0.64"
"","201397_at","26227","-0.65"
"","206754_s_at","1555","0.63"
"","215223_s_at","6648","-0.63"
"","218692_at","55638","0.63"
"","212771_at","221061","-0.62"
"","204623_at","7033","0.62"
"","219497_s_at","53335","-0.62"
"","219741_x_at","79818","0.61"
"","213234_at","57613","0.59"
"","210085_s_at","8416","0.6"
"","218471_s_at","582","0.61"
"","218532_s_at","54463","0.6"
"","219687_at","55733","0.58"
"","205696_s_at","2674","0.58"
"","200600_at","4478","-0.59"
"","201825_s_at","51097","0.59"
"","218035_s_at","54502","0.6"
"","211596_s_at","26018","0.59"
"","221856_s_at","55793","0.59"
"","209800_at","3868","-0.55"
"","219919_s_at","54961","0.58"
"","208788_at","60481","0.58"
"","204686_at","3667","0.57"
"","221016_s_at","83439","-0.58"
"","205548_s_at","10950","-0.58"
"","204863_s_at","3572","0.57"
"","203574_at","4783","-0.55"
"","219114_at","51161","0.55"
"","213260_at","2296","-0.56"
"","204914_s_at","6664","-0.58"
"","204061_at","5613","-0.56"
"","209204_at","8543","-0.57"
"","219648_at","55686","0.57"
"","204703_at","8100","0.55"
"","208693_s_at","2617","-0.56"
"","201030_x_at","3945","-0.56"
"","206197_at","8382","0.56"
"","202815_s_at","10614","0.55"
"","219786_at","9633","0.56"
"","205044_at","2568","-0.56"
"","214703_s_at","23324","0.56"
"","219010_at","55765","-0.54"
"","209443_at","5104","0.55"
"","205380_at","5174","0.55"
"","218065_s_at","56674","0.53"
"","204203_at","1054","-0.55"
"","207038_at","9120","0.55"
"","218394_at","79641","0.55"
"","202962_at","23303","0.54"
"","205029_s_at","2173","-0.53"
"","212510_at","23171","0.54"
"","203143_s_at","9674","0.53"
"","213412_at","27134","0.54"
"","202371_at","79921","0.54"
"","213712_at","54898","0.53"
"","201754_at","1345","0.54"
"","207266_x_at","5937","-0.54"
"","51158_at","400451","0.54"
"","203287_at","3898","-0.54"
"","203988_s_at","2530","0.51"
"","218518_at","51306","0.53"
"","219562_at","25837","0.53"
"","202501_at","10982","-0.52"
"","209759_s_at","1632","0.52"
"","208873_s_at","7905","0.53"
"","206869_at","1101","0.53"
"","213419_at","323","0.51"
"","218026_at","28958","0.52"
"","201201_at","1476","-0.52"
"","203921_at","9435","-0.52"
"","209825_s_at","7371","-0.52"
"","205201_at","2737","0.52"
"","205819_at","8685","-0.52"
"","201413_at","3295","0.5"
"","205347_s_at","11013","-0.48"
"","217770_at","51604","0.51"
"","209842_at","6663","-0.52"
"","221779_at","85377","-0.52"
"","211778_s_at","58495","0.51"
"","209395_at","1116","-0.51"
"","205768_s_at","11001","0.5"
"","213497_at","25841","-0.5"
"","57540_at","64080","0.5"
"","214838_at","375035","-0.49"
"","203909_at","10479","-0.46"
"","204981_at","5002","0.5"
"","219615_s_at","8645","-0.51"
"","219847_at","79885","0.5"
"","219795_at","11254","-0.47"
"","213512_at","122616","0.51"
"","218060_s_at","79650","-0.51"
"","202341_s_at","23321","-0.51"
"","212448_at","23327","0.5"
"","206469_x_at","22977","0.5"
"","206276_at","8581","-0.5"
"","204304_s_at","8842","-0.5"
"","200790_at","4953","-0.5"
"","212430_at","55544","-0.49"
"","219900_s_at","55663","0.5"
"","213651_at","27124","0.49"
"","211056_s_at","6715","-0.5"
"","218313_s_at","51809","0.49"
"","212736_at","89927","0.49"
"","208370_s_at","1827","-0.45"
"","202263_at","51706","0.48"
"","202638_s_at","3383","-0.49"
"","206157_at","5806","-0.5"
"","221614_s_at","9501","0.49"
"","203126_at","3613","-0.49"
"","213916_at","7568","0.47"
"","203535_at","6280","-0.49"
"","208941_s_at","22929","-0.49"
"","221272_s_at","81563","0.49"
"","201990_s_at","1389","0.47"
"","209283_at","1410","-0.49"
"","218398_at","10884","0.48"
"","219570_at","55614","0.49"
"","204750_s_at","1824","-0.49"
"","209373_at","7851","-0.49"
"","205280_at","2743","0.48"
"","210980_s_at","427","0.47"
"","208305_at","5241","0.51"
"","205714_s_at","51364","0.47"
"","219682_s_at","6926","0.47"
"","205094_at","5193","0.47"
"","201161_s_at","8531","-0.48"
"","200045_at","23","-0.46"
"","206373_at","7545","-0.48"
"","203538_at","819","0.47"
"","202554_s_at","2947","0.48"
"","202850_at","5825","0.48"
"","209123_at","5860","0.47"
"","218217_at","59342","-0.47"
"","220414_at","51806","-0.44"
"","218922_s_at","79603","0.44"
"","204343_at","21","0.48"
"","219734_at","54847","0.46"
"","204378_at","8537","0.47"
"","206023_at","10874","-0.41"
"","220941_s_at","54149","-0.46"
"","201751_at","9929","-0.46"
"","221854_at","5317","-0.48"
"","202233_s_at","7388","-0.46"
"","212345_s_at","64764","-0.45"
"","203707_at","10127","0.46"
"","201913_s_at","80347","0.44"
"","212925_at","126353","0.45"
"","218450_at","50865","0.45"
"","217939_s_at","54812","0.46"
"","209624_s_at","64087","0.46"
"","204087_s_at","8884","-0.44"
"","211474_s_at","5269","0.46"
"","204580_at","4321","-0.44"
"","206560_s_at","8190","-0.43"
"","205743_at","6769","-0.46"
"","218548_x_at","51368","0.44"
"","204541_at","23541","0.45"
"","205645_at","9185","0.44"
"","205357_s_at","185","0.45"
"","208358_s_at","7368","-0.47"
"","212400_at","399665","0.43"
"","202376_at","12","0.43"
"","220238_s_at","55975","-0.45"
"","210006_at","25864","0.43"
"","218902_at","4851","-0.45"
"","204144_s_at","9091","0.45"
"","204724_s_at","1299","-0.43"
"","203384_s_at","2800","0.43"
"","207639_at","8326","-0.47"
"","203687_at","6376","-0.45"
"","207222_at","8399","0.44"
"","201860_s_at","5327","0.45"
"","205730_s_at","22885","0.45"
"","219223_at","11094","0.44"
"","210145_at","5321","-0.42"
"","219415_at","57348","-0.45"
"","204634_at","6787","0.44"
"","222068_s_at","123872","0.42"
"","202257_s_at","10421","0.44"
"","205205_at","5971","-0.42"
"","210246_s_at","6833","0.43"
"","205948_at","11122","0.44"
"","211002_s_at","23650","-0.41"
"","205441_at","79629","0.4"
"","203657_s_at","8722","0.44"
"","219984_s_at","57110","-0.43"
"","203458_at","6697","0.37"
"","204470_at","2919","-0.43"
"","212593_s_at","27250","0.42"
"","215407_s_at","23245","0.43"
"","210239_at","10265","0.44"
"","209170_s_at","2824","-0.43"
"","218847_at","10644","-0.4"
"","209822_s_at","7436","-0.41"
"","217867_x_at","25825","-0.43"
"","218588_s_at","10827","0.43"
"","205204_at","4828","-0.43"
"","202308_at","6720","0.42"
"","210024_s_at","10477","-0.42"
"","201833_at","3066","-0.43"
"","219268_at","55224","0.4"
"","212816_s_at","875","-0.36"
"","205157_s_at","3872","-0.4"
"","207996_s_at","753","0.42"
"","205891_at","136","-0.42"
"","204975_at","2013","0.42"
"","204540_at","1917","0.43"
"","202859_x_at","3576","-0.42"
"","210147_at","419","-0.43"
"","51146_at","55650","0.42"
"","212145_at","23107","0.41"
"","222242_s_at","25818","-0.41"
"","205364_at","8309","0.41"
"","205830_at","1047","0.37"
"","208388_at","10002","0.41"
"","218877_s_at","60487","-0.41"
"","209781_s_at","10656","-0.4"
"","218424_s_at","55240","-0.41"
"","201841_s_at","3315","0.41"
"","217934_x_at","10273","0.41"
"","202345_s_at","2171","-0.41"
"","219951_s_at","55184","0.4"
"","204201_s_at","5783","0.39"
"","218524_at","1877","0.4"
"","202458_at","11098","0.41"
"","214079_at","10202","0.39"
"","219681_s_at","80223","0.41"
"","219582_at","79627","-0.41"
"","204043_at","6948","-0.4"
"","212641_at","3097","-0.4"
"","202185_at","8985","-0.41"
"","215189_at","3892","-0.41"
"","200877_at","10575","-0.4"
"","218760_at","51004","0.4"
"","215034_s_at","4071","-0.4"
"","200862_at","1718","0.38"
"","205350_at","1381","-0.4"
"","201349_at","9368","0.41"
"","213679_at","92104","0.4"
"","221577_x_at","9518","0.4"
"","205476_at","6364","-0.36"
"","211538_s_at","3306","0.4"
"","219225_at","79605","-0.41"
"","212730_at","23336","-0.39"
"","204846_at","1356","-0.4"
"","219470_x_at","54619","-0.38"
"","219654_at","9200","-0.4"
"","220432_s_at","51302","-0.34"
"","205420_at","5191","0.4"
"","202096_s_at","706","-0.39"
"","203120_at","7159","-0.4"
"","218363_at","55218","0.4"
"","219474_at","79669","0.39"
"","202704_at","10140","0.37"
"","219956_at","11226","0.4"
"","201563_at","6652","0.39"
"","210046_s_at","3418","-0.4"
"","203740_at","10200","-0.4"
"","201387_s_at","7345","-0.38"
"","207254_at","6564","-0.34"
"","217794_at","54458","0.39"
"","204125_at","51103","0.35"
"","215043_s_at","11042","0.39"
"","204485_s_at","10040","0.38"
"","213060_s_at","1117","-0.38"
"","220956_s_at","112398","0.39"
"","213457_at","9258","-0.32"
"","205239_at","374","0.38"
"","221942_s_at","2982","-0.38"
"","209211_at","688","-0.39"
"","206115_at","1960","0.37"
"","215983_s_at","7993","0.38"
"","220339_s_at","25823","0.37"
"","205614_x_at","4485","0.36"
"","218401_s_at","23528","0.38"
"","210397_at","1672","-0.39"
"","218774_at","28960","-0.38"
"","204855_at","5268","-0.36"
"","209772_s_at","934","-0.36"
"","218309_at","55450","0.37"
"","205485_at","6261","-0.35"
"","210002_at","2627","-0.37"
"","218868_at","57180","-0.39"
"","205710_at","4036","0.35"
"","220319_s_at","29116","0.37"
"","213094_at","57211","-0.38"
"","207144_s_at","4435","0.38"
"","219143_s_at","54913","-0.37"
"","205014_at","9982","-0.33"
"","209074_s_at","11170","-0.36"
"","204818_at","3294","-0.38"
"","205896_at","6583","0.32"
"","219127_at","79170","0.37"
"","219944_at","79745","-0.28"
"","214324_at","2813","0.35"
"","201516_at","6723","-0.35"
"","205509_at","1360","0.35"
"","205432_at","5016","0.34"
"","206034_at","5271","-0.36"
"","222108_at","347902","0.36"
"","202851_at","79719","0.36"
"","219044_at","55258","0.36"
"","209418_s_at","8563","-0.36"
"","221036_s_at","83464","0.38"
"","204086_at","23532","-0.35"
"","204295_at","6834","0.36"
"","214519_s_at","6019","0.34"
"","201951_at","214","0.36"
"","219156_at","55333","0.35"
"","200825_s_at","10525","-0.35"
"","207813_s_at","2232","0.36"
"","210202_s_at","274","-0.36"
"","204650_s_at","10307","0.35"
"","204632_at","8986","-0.34"
"","220658_s_at","56938","-0.35"
"","222162_s_at","9510","-0.32"
"","209576_at","2770","-0.34"
"","203686_at","4350","0.34"
"","208056_s_at","863","0.34"
"","205358_at","2891","0.33"
"","210021_s_at","10309","0.34"
"","207332_s_at","7037","-0.34"
"","206693_at","3574","-0.34"
"","220775_s_at","55293","0.34"
